0.000552, 0.001103, 0.001654, 0.002120, 0.005300, 0.009540, 0.000000, 0.000000
0.068137, 0.134436, 0.201838, 0.141095, 0.071489, 0.143215, -0.005629, 0.002322
0.232606, 0.252431, 0.401884, 0.314822, 0.205734, 0.276035, 0.014151, 0.012577
0.415997, 0.380084, 0.528389, 0.463049, 0.373268, 0.428907, 0.030283, 0.038798
0.492810, 0.446066, 0.533060, 0.541335, 0.491648, 0.573741, 0.029931, 0.034915
0.496384, 0.485046, 0.530521, 0.553831, 0.489825, 0.589186, 0.029692, 0.052570
0.479632, 0.477555, 0.514410, 0.565279, 0.509199, 0.623241, 0.036382, 0.073579
0.468780, 0.460794, 0.492305, 0.573087, 0.528044, 0.664787, 0.033670, 0.084832
0.459699, 0.450712, 0.473030, 0.578249, 0.533250, 0.686412, 0.046185, 0.086271
0.460722, 0.457501, 0.474502, 0.577099, 0.526230, 0.684071, 0.030375, 0.100774
0.445918, 0.438589, 0.450127, 0.587474, 0.547092, 0.715511, 0.066794, 0.107461
0.455601, 0.450775, 0.455178, 0.580004, 0.538092, 0.715696, 0.068243, 0.121500
0.450380, 0.442992, 0.437534, 0.586972, 0.552259, 0.743760, 0.073824, 0.126843
0.446915, 0.445243, 0.429532, 0.585973, 0.549239, 0.747479, 0.075081, 0.121469
0.445928, 0.453261, 0.437563, 0.584654, 0.541377, 0.736899, 0.076403, 0.130132
0.442462, 0.444895, 0.432023, 0.589119, 0.553344, 0.754081, 0.079260, 0.159165
0.431575, 0.421540, 0.394486, 0.597035, 0.580155, 0.803526, 0.102472, 0.187066
0.424618, 0.419819, 0.358727, 0.596558, 0.587934, 0.836356, 0.096768, 0.167036
0.416685, 0.447881, 0.373994, 0.588888, 0.557180, 0.795448, 0.090511, 0.195918
0.394093, 0.420557, 0.354728, 0.608048, 0.602238, 0.859387, 0.102424, 0.202285
0.393756, 0.417558, 0.353680, 0.596226, 0.584213, 0.844463, 0.131303, 0.204459
0.408238, 0.430271, 0.364644, 0.595880, 0.582619, 0.850858, 0.114627, 0.232200
0.391205, 0.403601, 0.319238, 0.609105, 0.613451, 0.900201, 0.126142, 0.223314
0.389198, 0.429953, 0.323323, 0.594720, 0.583197, 0.862322, 0.119184, 0.255352
0.361886, 0.409447, 0.294476, 0.615715, 0.631219, 0.935686, 0.126943, 0.248976
